Symbol,Name,Sector,Average Absolute Daily Beta Adjusted Return,Average Daily Beta Adjusted Return,Average Daily non-holding Beta Adjusted Return,Std Error of Daily Holding Period Beta Adjusted Return,Std Dev of Daily Holding Period Beta Adjusted Return,Average Daily Beta Adjusted Return of Study Period,Median Daily Beta Adjusted Return,P Value (Beta Adjusted),P Value of Absolute Returns (Beta Adjusted),Std Error of Daily Study Period Beta Adjusted Return,Std Dev of Daily Study Period Beta Adjusted Return,Average Percent Return,Average Absolute Daily Return,Average Daily Return,Average Daily non-holding Return,Trade Period Beta with Benchmark,Number of Trades,Cumulative Percent Return,Std Error of Daily Holding Period Return,Std Dev of Daily Holding Period Return,Event Sensitivity,Best Percent Return,Mean Absolute Percent Return,Average Daily Return of Study Period,Median Percent Return,Median Absolute Percent Return,Median Daily Return,Worst Percent Return,Number of Days Positive,Percent of Days Positive,Percent of Trades Positive,P Value ,P Value of Absolute Returns ,R with S&P 500,Risk Adjusted Sharpe Ratio,Sharpe Ratio,Std Error of Daily Study Period Return,Std Dev of Daily Study Period Return,Study Period Beta with Benchmark,Earliest Data Date,Latest Data Date
JNPR,Juniper Networks,Technology,1.09%,-0.17%,0.02%,0.20%,1.41%,0.01%,-0.39%,0.23,0.47,0.04%,1.80%,0.80%,1.59%,0.13%,0.01%,1.30,8,6.58%,0.31%,2.16%,0.24,18.09%,4.78%,0.01%,0.08%,2.23%,-0.24%,-9.53%,22,45.83%,50.00%,0.97,0.17,0.62,-0.15,0.14,0.06%,2.80%,1.20,06/25/1999,08/21/2015
JOY,Joy Global Inc.,Energy,0.66%,0.02%,-0.09%,0.20%,0.86%,-0.09%,0.04%,0.78,0.36,0.04%,1.02%,2.19%,1.32%,0.36%,-0.07%,2.04,3,6.73%,0.41%,1.76%,0.34,10.04%,4.30%,-0.06%,-0.45%,2.64%,0.02%,-2.57%,9,50.00%,33.33%,0.59,0.22,0.20,0.32,0.78,0.08%,2.09%,1.64,12/24/2003,08/21/2015
JPM,J P Morgan Chase & Co,Finance,0.65%,-0.07%,0.02%,0.14%,0.95%,0.01%,-0.08%,0.96,0.40,0.03%,1.24%,2.01%,1.72%,0.33%,0.01%,1.79,8,17.24%,0.35%,2.42%,0.73,13.61%,2.71%,0.02%,0.30%,0.89%,0.28%,-1.59%,29,60.42%,62.50%,0.25,0.41,0.76,0.04,0.32,0.07%,3.09%,1.63,03/09/1984,08/21/2015
JWN,Nordstrom,Consumer Services,0.82%,0.04%,0.02%,0.16%,1.13%,0.02%,0.08%,0.61,0.05,0.04%,1.68%,2.49%,1.31%,0.41%,0.02%,1.11,8,21.75%,0.26%,1.82%,0.10,8.57%,3.97%,0.03%,2.63%,3.16%,0.29%,-3.37%,30,62.50%,62.50%,0.24,0.04,0.62,0.13,0.52,0.06%,2.80%,1.26,01/02/1990,08/21/2015
K,Kellogg Company,Consumer Non-Durables,1.53%,0.08%,0.03%,0.29%,2.00%,0.03%,0.14%,0.99,0.04,0.04%,1.93%,1.06%,0.81%,0.18%,0.02%,0.29,8,8.84%,0.14%,1.00%,0.83,2.88%,1.48%,0.02%,0.92%,0.95%,0.32%,-0.88%,30,62.50%,75.00%,0.22,0.07,0.30,-0.18,0.41,0.03%,1.18%,0.49,01/02/1990,08/21/2015
KEY,Keycorp,Finance,1.03%,-0.29%,0.00%,0.31%,2.15%,-0.01%,-0.09%,0.82,0.35,0.04%,1.63%,-0.61%,2.46%,-0.10%,-0.04%,1.76,8,-4.78%,0.69%,4.86%,0.92,15.38%,9.46%,-0.04%,2.79%,4.51%,0.29%,-31.79%,27,56.25%,75.00%,0.26,0.36,0.38,-0.18,-0.05,0.09%,4.07%,1.88,01/02/1990,08/21/2015
KIM,Kimco Realty Corp.,Consumer Services,0.81%,-0.21%,0.00%,0.15%,1.05%,0.00%,-0.11%,0.37,0.19,0.03%,1.36%,0.67%,1.80%,0.11%,-0.02%,1.59,8,5.46%,0.35%,2.45%,0.65,11.42%,6.15%,-0.02%,1.46%,3.74%,0.34%,-16.21%,29,60.42%,75.00%,0.38,0.27,0.67,-0.16,0.10,0.08%,3.39%,1.70,04/24/1992,08/21/2015
KLAC,Kla-Tencor Corp.,Capital Goods,1.07%,-0.15%,0.03%,0.21%,1.45%,0.03%,-0.08%,0.71,0.29,0.03%,1.51%,0.86%,1.48%,0.14%,0.03%,1.15,8,7.11%,0.29%,2.01%,0.54,15.26%,4.27%,0.03%,-0.29%,3.00%,0.13%,-6.56%,25,52.08%,37.50%,0.58,0.27,0.59,-0.15,0.17,0.05%,2.31%,1.10,01/03/1994,08/21/2015
KMB,Kimberly-Clark Corp.,Consumer Durables,1.06%,0.05%,0.06%,0.19%,1.29%,0.06%,0.05%,0.90,0.36,0.04%,1.72%,1.07%,0.56%,0.18%,0.03%,0.30,8,8.85%,0.10%,0.70%,0.09,3.77%,1.63%,0.04%,0.84%,1.52%,0.28%,-1.89%,28,58.33%,62.50%,0.12,0.06,0.44,-0.21,0.58,0.03%,1.15%,0.51,01/02/1990,08/21/2015
KMI,Kinder Morgan,Public Utilities,0.97%,-0.49%,0.03%,0.25%,1.21%,0.01%,-0.50%,0.10,0.30,0.05%,1.61%,0.05%,0.99%,0.01%,0.04%,0.93,4,0.20%,0.26%,1.28%,0.42,5.38%,2.89%,0.04%,-0.25%,2.84%,-0.09%,-4.43%,10,41.67%,50.00%,0.81,0.40,0.49,-1.01,0.02,0.05%,1.41%,0.75,02/11/2011,08/21/2015
KMX,Carmax Inc,Consumer Durables,1.25%,0.09%,0.03%,0.27%,1.84%,0.03%,-0.31%,0.71,0.17,0.04%,1.83%,2.57%,1.90%,0.42%,0.02%,1.28,8,22.52%,0.37%,2.56%,0.79,19.01%,3.91%,0.03%,-0.60%,1.64%,0.14%,-1.88%,25,52.08%,37.50%,0.40,0.26,0.51,0.11,0.38,0.06%,2.81%,1.20,02/04/1997,08/21/2015
KO,Coca-Cola Company,Consumer Non-Durables,1.15%,-0.15%,0.06%,0.27%,1.85%,0.06%,-0.12%,0.41,0.17,0.04%,1.70%,0.47%,0.73%,0.08%,0.04%,0.35,8,3.85%,0.16%,1.09%,0.45,2.66%,1.52%,0.04%,0.86%,1.66%,0.09%,-2.22%,26,54.17%,75.00%,0.94,0.09,0.33,-0.33,0.17,0.03%,1.25%,0.56,01/02/1990,08/21/2015
KORS,Michael Kors Holdings Limited,Consumer Non-Durables,0.88%,-0.32%,0.10%,0.27%,1.15%,0.09%,-0.22%,0.33,0.08,0.08%,2.02%,-0.85%,1.10%,-0.14%,0.17%,0.54,3,-2.54%,0.33%,1.40%,0.10,-0.26%,0.86%,0.16%,-0.79%,0.80%,-0.19%,-1.50%,8,44.44%,0.00%,0.58,0.08,0.06,-0.88,-0.38,0.10%,2.57%,1.22,12/15/2011,08/21/2015
KR,Kroger Company,Consumer Services,1.44%,0.03%,0.08%,0.27%,1.85%,0.08%,-0.30%,0.41,0.48,0.05%,2.27%,1.10%,1.06%,0.18%,0.05%,0.72,8,9.17%,0.19%,1.32%,0.58,7.59%,3.16%,0.05%,1.16%,2.30%,0.13%,-7.23%,25,52.08%,75.00%,0.68,0.37,0.56,-0.15,0.32,0.04%,1.61%,0.59,04/21/1980,08/21/2015
KSS,Kohl's Corp.,Consumer Services,1.13%,0.09%,-0.01%,0.21%,1.43%,0.00%,0.09%,0.49,0.44,0.04%,1.73%,2.19%,1.29%,0.36%,-0.01%,0.84,8,18.89%,0.23%,1.63%,0.37,4.90%,2.64%,0.00%,2.69%,2.69%,0.56%,-1.09%,29,60.42%,75.00%,0.08,0.33,0.53,0.09,0.51,0.05%,2.18%,0.97,01/03/1994,08/21/2015
KSU,Kansas City Southern,Transportation,0.84%,0.25%,0.05%,0.18%,1.27%,0.06%,0.12%,0.35,0.07,0.03%,1.43%,4.23%,1.74%,0.69%,0.06%,1.65,8,39.30%,0.34%,2.36%,0.67,17.23%,5.09%,0.07%,3.27%,3.26%,0.61%,-1.93%,31,64.58%,75.00%,0.06,0.30,0.72,0.36,0.68,0.06%,2.72%,1.34,01/02/1990,08/21/2015
L,Loews Corp.,Finance,0.47%,0.02%,-0.01%,0.10%,0.66%,-0.01%,0.08%,0.76,0.30,0.02%,0.94%,2.39%,0.98%,0.39%,-0.01%,1.01,8,20.78%,0.19%,1.31%,0.35,7.49%,3.00%,0.00%,2.57%,2.61%,0.38%,-1.60%,27,56.25%,75.00%,0.10,0.19,0.79,0.14,0.69,0.05%,2.22%,1.28,01/02/1990,08/21/2015
LB,Limited Brands,Consumer Services,1.00%,0.24%,0.05%,0.18%,1.27%,0.05%,0.18%,0.48,0.44,0.03%,1.53%,3.86%,1.70%,0.63%,0.05%,1.36,8,35.41%,0.30%,2.08%,0.74,10.55%,4.70%,0.07%,3.42%,3.42%,0.63%,-3.17%,29,60.42%,87.50%,0.10,0.29,0.67,0.34,0.70,0.06%,2.57%,1.22,09/06/1985,08/21/2015
LEG,Leggett & Platt Inc.,Consumer Durables,0.78%,0.20%,0.02%,0.15%,1.07%,0.03%,0.16%,0.36,0.39,0.03%,1.28%,3.18%,1.29%,0.52%,0.03%,1.39,8,28.41%,0.26%,1.80%,0.56,17.57%,3.91%,0.04%,2.08%,2.38%,0.24%,-1.84%,32,66.67%,75.00%,0.11,0.10,0.79,0.26,0.67,0.05%,2.08%,1.08,01/02/1990,08/21/2015
LEN,Lennar Corp.,Basic Industries,0.88%,0.06%,0.01%,0.18%,1.22%,0.01%,-0.02%,0.73,0.05,0.04%,1.77%,3.52%,2.30%,0.58%,-0.02%,1.94,8,31.92%,0.42%,2.96%,0.40,17.66%,6.62%,-0.01%,3.78%,5.54%,0.46%,-9.82%,28,58.33%,75.00%,0.14,0.36,0.68,0.21,0.45,0.09%,4.09%,1.78,01/02/1990,08/21/2015
LH,Laboratory Corporation Of America Holdings,Health Care,1.24%,0.17%,0.02%,0.24%,1.67%,0.02%,0.15%,0.29,0.36,0.05%,2.11%,1.49%,0.77%,0.25%,0.01%,0.54,8,12.54%,0.15%,1.07%,0.22,5.01%,2.50%,0.02%,2.02%,2.53%,0.10%,-2.50%,26,54.17%,62.50%,0.41,0.03,0.52,-0.07,0.53,0.03%,1.41%,0.55,12/31/1990,08/21/2015
LLL,L-3 Communications,Technology,0.87%,0.17%,0.01%,0.15%,1.05%,0.02%,0.11%,0.34,0.38,0.03%,1.37%,2.14%,0.87%,0.35%,0.01%,0.84,8,18.44%,0.17%,1.18%,0.22,12.16%,3.10%,0.02%,1.17%,1.84%,0.29%,-2.44%,27,56.25%,62.50%,0.13,0.06,0.73,0.09,0.69,0.03%,1.54%,0.77,05/19/1998,08/21/2015
LLTC,Linear Technology Corp.,Technology,1.02%,-0.07%,0.03%,0.19%,1.34%,0.03%,0.03%,0.75,0.34,0.03%,1.52%,1.08%,1.15%,0.18%,0.03%,0.97,8,8.93%,0.22%,1.53%,0.55,10.36%,2.54%,0.03%,-0.24%,1.33%,0.11%,-2.59%,26,54.17%,37.50%,0.47,0.29,0.65,-0.14,0.27,0.04%,1.81%,0.86,03/26/1990,08/21/2015
LLY,Eli Lilly And Company,Health Care,0.82%,-0.05%,0.03%,0.16%,1.13%,0.03%,0.15%,0.85,0.10,0.03%,1.49%,1.02%,0.76%,0.17%,0.03%,0.59,8,8.49%,0.15%,1.01%,0.21,4.63%,2.69%,0.03%,1.63%,2.24%,0.29%,-5.21%,31,64.58%,75.00%,0.15,0.15,0.60,-0.19,0.39,0.03%,1.49%,0.72,01/02/1990,08/21/2015
LM,Legg Mason,Finance,0.68%,0.09%,-0.01%,0.14%,1.00%,-0.01%,-0.07%,0.82,0.43,0.03%,1.40%,3.91%,1.70%,0.64%,-0.04%,1.23,8,35.94%,0.30%,2.09%,0.36,13.61%,4.83%,-0.03%,3.15%,3.86%,0.55%,-3.46%,27,56.25%,87.50%,0.10,0.44,0.60,0.35,0.71,0.08%,3.49%,1.74,01/02/1990,08/21/2015
LMT,Lockheed Martin Corp.,Capital Goods,0.93%,0.10%,0.06%,0.17%,1.15%,0.06%,0.31%,0.47,0.22,0.04%,1.77%,1.59%,0.79%,0.26%,0.04%,0.49,8,13.41%,0.13%,0.92%,0.09,7.25%,3.13%,0.05%,2.17%,2.97%,0.40%,-4.76%,30,62.50%,62.50%,0.17,0.12,0.55,-0.05,0.66,0.04%,1.56%,0.69,01/02/1990,08/21/2015
LNC,Lincoln National Corp.,Finance,0.56%,-0.22%,0.02%,0.12%,0.82%,0.02%,-0.15%,0.10,0.21,0.03%,1.51%,0.73%,1.99%,0.12%,-0.01%,2.17,8,5.99%,0.42%,2.94%,0.44,14.46%,6.93%,0.00%,2.14%,3.04%,0.43%,-19.11%,28,58.33%,75.00%,0.39,0.29,0.76,-0.13,0.10,0.10%,4.74%,2.26,01/02/1990,08/21/2015
LOW,Lowe's Companies,Consumer Services,0.82%,0.06%,0.03%,0.15%,1.01%,0.03%,0.10%,0.61,0.21,0.03%,1.50%,2.12%,1.08%,0.35%,0.03%,0.89,8,18.31%,0.20%,1.37%,0.08,8.17%,2.69%,0.03%,1.36%,2.09%,0.03%,-1.90%,25,52.08%,75.00%,0.26,0.05,0.66,0.08,0.59,0.05%,2.12%,1.01,01/02/1990,08/21/2015
LRCX,Lam Research Corp.,Technology,1.03%,0.06%,0.02%,0.19%,1.29%,0.02%,-0.14%,0.81,0.32,0.04%,1.60%,2.39%,1.69%,0.39%,0.01%,1.54,8,20.77%,0.31%,2.18%,0.56,15.58%,4.62%,0.02%,2.13%,3.59%,0.24%,-3.58%,26,54.17%,62.50%,0.34,0.42,0.72,0.10,0.42,0.06%,2.57%,1.19,03/26/1990,08/21/2015
LUK,Leucadia National Corp.,Consumer Non-Durables,0.74%,0.14%,-0.01%,0.14%,0.97%,0.00%,0.10%,0.44,0.21,0.03%,1.16%,4.03%,1.78%,0.66%,-0.02%,1.50,8,37.22%,0.31%,2.16%,0.80,13.67%,4.60%,0.00%,3.62%,3.62%,0.66%,-2.13%,30,62.50%,87.50%,0.05,0.22,0.71,0.36,0.71,0.07%,2.91%,1.56,01/02/1990,08/21/2015
LUV,Southwest Airlines Company,Transportation,1.29%,0.19%,0.04%,0.25%,1.74%,0.04%,0.01%,0.69,0.42,0.04%,1.98%,2.62%,1.57%,0.43%,0.03%,1.21,8,22.96%,0.29%,2.02%,0.69,10.88%,4.18%,0.04%,1.80%,3.72%,0.18%,-5.89%,27,56.25%,87.50%,0.24,0.45,0.61,0.14,0.49,0.05%,2.29%,0.93,01/02/1990,08/21/2015
LVLT,Level 3 Communications,Public Utilities,2.61%,0.77%,0.00%,0.62%,4.28%,0.02%,-0.16%,0.60,0.07,0.07%,3.15%,7.07%,3.40%,1.15%,-0.06%,1.47,8,72.77%,0.73%,5.17%,0.98,28.45%,9.96%,-0.03%,4.39%,6.14%,0.08%,-5.78%,24,50.00%,62.50%,0.20,0.11,0.30,0.38,0.52,0.09%,4.28%,1.22,04/01/1998,08/21/2015
LYB,Lyondellbasell Industries Nv,Basic Industries,0.75%,0.05%,0.06%,0.20%,0.97%,0.06%,-0.04%,0.84,0.31,0.03%,0.94%,5.60%,1.74%,0.91%,0.15%,1.73,4,24.37%,0.47%,2.33%,0.54,16.39%,6.75%,0.17%,4.51%,4.49%,0.40%,-2.14%,15,62.50%,75.00%,0.25,0.45,0.50,0.52,1.28,0.07%,2.27%,1.67,10/14/2010,08/21/2015
M,Macy's Inc,Consumer Services,0.91%,-0.13%,0.03%,0.18%,1.24%,0.02%,-0.15%,0.39,0.22,0.04%,1.55%,1.31%,1.49%,0.22%,0.02%,1.09,8,10.95%,0.30%,2.06%,0.11,10.13%,3.15%,0.03%,0.48%,2.26%,0.00%,-6.56%,23,47.92%,50.00%,0.47,0.02,0.54,-0.07,0.24,0.07%,3.03%,1.42,01/03/1994,08/21/2015
MA,Mastercard Inc.,Miscellaneous,1.04%,0.18%,0.09%,0.20%,1.40%,0.09%,0.09%,0.64,0.35,0.04%,1.68%,3.11%,1.37%,0.51%,0.10%,0.76,8,27.74%,0.25%,1.71%,0.37,7.96%,3.41%,0.11%,2.93%,2.92%,0.29%,-0.72%,24,50.00%,75.00%,0.24,0.44,0.46,0.26,0.69,0.06%,2.47%,1.12,05/25/2006,08/21/2015
MAC,Macerich Company,Consumer Services,0.70%,-0.20%,0.02%,0.13%,0.88%,0.02%,-0.17%,0.15,0.44,0.04%,1.57%,0.80%,1.57%,0.13%,0.01%,1.53,8,6.56%,0.31%,2.18%,0.32,10.05%,4.87%,0.01%,-0.02%,3.55%,0.14%,-12.46%,26,54.17%,50.00%,0.53,0.40,0.72,-0.15,0.14,0.08%,3.69%,1.72,03/10/1994,08/21/2015
MAR,Marriott International,Consumer Services,0.71%,0.09%,0.01%,0.13%,0.92%,0.01%,0.06%,0.55,0.44,0.03%,1.23%,2.85%,1.54%,0.47%,0.01%,1.62,8,25.24%,0.29%,2.00%,0.76,11.80%,4.66%,0.02%,3.76%,4.76%,0.54%,-6.32%,31,64.58%,75.00%,0.09,0.45,0.83,0.19,0.54,0.05%,2.39%,1.26,03/31/1998,08/21/2015
MAS,Masco Corp.,Basic Industries,0.89%,0.17%,0.00%,0.17%,1.20%,0.00%,0.12%,0.15,0.16,0.04%,1.55%,3.87%,1.93%,0.63%,-0.02%,1.89,8,35.47%,0.37%,2.56%,0.51,14.54%,6.53%,0.00%,4.15%,5.86%,0.66%,-9.62%,29,60.42%,87.50%,0.10,0.28,0.76,0.29,0.57,0.07%,3.06%,1.44,01/02/1990,08/21/2015
MAT,Mattel,Consumer Non-Durables,0.93%,0.01%,0.03%,0.16%,1.12%,0.03%,0.07%,0.90,0.50,0.04%,1.78%,1.47%,1.11%,0.24%,0.03%,1.15,8,12.38%,0.21%,1.48%,0.36,10.57%,3.12%,0.03%,0.50%,2.73%,0.41%,-3.36%,28,58.33%,62.50%,0.33,0.21,0.79,-0.06,0.38,0.04%,1.94%,0.84,03/31/1982,08/21/2015
MCD,Mcdonald's Corp.,Consumer Services,1.21%,0.33%,0.07%,0.25%,1.75%,0.08%,0.19%,0.27,0.39,0.04%,1.69%,2.07%,0.83%,0.34%,0.04%,0.44,8,17.82%,0.15%,1.06%,0.72,5.25%,2.98%,0.05%,2.21%,3.12%,0.33%,-3.49%,33,68.75%,87.50%,0.05,0.48,0.42,0.08,0.74,0.03%,1.24%,0.56,10/22/1985,08/21/2015
MCHP,Microchip Technology Inc.,Technology,1.07%,0.13%,0.03%,0.25%,1.75%,0.03%,0.14%,0.30,0.47,0.03%,1.41%,2.28%,1.37%,0.38%,0.03%,1.26,8,19.81%,0.30%,2.11%,0.90,12.75%,4.90%,0.04%,3.54%,3.74%,0.34%,-7.90%,30,62.50%,75.00%,0.06,0.35,0.62,0.09,0.41,0.04%,1.92%,0.94,03/19/1993,08/21/2015
MCK,Mckesson Corp.,Health Care,1.27%,0.09%,0.09%,0.23%,1.58%,0.09%,-0.22%,0.94,0.04,0.04%,1.88%,1.66%,1.07%,0.27%,0.07%,0.67,8,14.05%,0.20%,1.36%,0.62,7.08%,2.85%,0.07%,1.05%,2.26%,0.30%,-2.25%,26,54.17%,62.50%,0.25,0.34,0.51,-0.02,0.46,0.04%,1.76%,0.74,01/03/1994,08/21/2015
MCO,Moody's Corp.,Finance,0.83%,0.04%,0.02%,0.16%,1.10%,0.02%,-0.04%,0.86,0.49,0.03%,1.45%,2.60%,1.54%,0.43%,0.01%,1.32,8,22.77%,0.29%,2.03%,0.34,8.47%,4.90%,0.02%,3.99%,5.69%,0.45%,-8.50%,27,56.25%,87.50%,0.16,0.33,0.67,0.14,0.49,0.06%,2.80%,1.36,10/03/2000,08/21/2015
MDLZ,Kraft Foods Inc.,Consumer Non-Durables,0.51%,0.14%,0.01%,0.17%,0.59%,0.01%,0.31%,0.40,0.38,0.04%,1.00%,1.70%,0.53%,0.28%,0.06%,0.47,2,3.44%,0.16%,0.57%,0.16,2.80%,1.70%,0.07%,1.71%,1.70%,0.34%,0.62%,9,75.00%,100.00%,0.20,0.18,0.09,0.81,2.27,0.05%,1.18%,0.98,09/17/2012,08/21/2015
MDT,Medtronic,Health Care,0.89%,0.01%,0.02%,0.17%,1.19%,0.02%,-0.21%,0.65,0.08,0.04%,1.78%,1.22%,0.86%,0.20%,0.01%,0.78,8,10.20%,0.17%,1.15%,0.20,5.29%,2.59%,0.02%,1.97%,2.18%,0.04%,-5.24%,24,50.00%,87.50%,0.34,0.09,0.69,-0.13,0.41,0.04%,1.61%,0.70,01/02/1990,08/21/2015
MET,Metlife,Finance,0.63%,0.00%,0.01%,0.13%,0.87%,0.01%,0.03%,0.96,0.34,0.03%,1.28%,3.06%,1.94%,0.50%,-0.01%,1.87,8,27.22%,0.36%,2.49%,0.81,14.96%,4.66%,0.00%,2.92%,3.17%,0.27%,-4.93%,27,56.25%,75.00%,0.24,0.15,0.77,0.18,0.47,0.08%,3.51%,1.80,04/05/2000,08/21/2015
MHFI,McGraw Hill Financial Inc,Finance,0.67%,0.11%,0.01%,0.12%,0.85%,0.01%,0.13%,0.29,0.14,0.03%,1.35%,2.93%,1.14%,0.48%,0.01%,1.03,8,25.95%,0.21%,1.47%,0.21,9.44%,3.29%,0.02%,2.23%,2.23%,0.42%,-0.72%,29,60.42%,75.00%,0.04,0.14,0.72,0.25,0.76,0.05%,2.37%,1.20,01/02/1990,08/21/2015
MHK,Mohawk Industries,Consumer Durables,1.10%,0.11%,0.02%,0.23%,1.58%,0.03%,-0.10%,0.88,0.49,0.04%,1.64%,2.81%,1.96%,0.46%,0.02%,2.04,8,24.81%,0.39%,2.74%,0.89,22.04%,6.71%,0.03%,2.66%,5.28%,0.34%,-5.69%,27,56.25%,62.50%,0.38,0.45,0.77,0.14,0.39,0.06%,2.69%,1.24,12/16/1997,08/21/2015
MJN,Mead Johnson Nutrition Company,Consumer Non-Durables,1.91%,0.59%,0.11%,0.37%,2.24%,0.12%,0.77%,0.09,0.03,0.07%,2.56%,3.33%,1.19%,0.55%,0.09%,0.49,6,21.75%,0.24%,1.43%,0.57,6.58%,4.00%,0.10%,3.74%,3.74%,0.63%,-1.91%,23,63.89%,83.33%,0.02,0.24,0.35,0.29,1.02,0.04%,1.65%,0.59,02/26/2003,08/21/2015
MKC,Mccormick & Company Inc.,Consumer Non-Durables,1.09%,0.13%,0.06%,0.20%,1.37%,0.06%,0.17%,0.74,0.49,0.04%,1.86%,1.32%,0.74%,0.22%,0.03%,0.62,8,11.06%,0.14%,0.95%,0.41,5.92%,1.54%,0.04%,0.59%,0.67%,0.06%,-0.61%,24,50.00%,75.00%,0.39,0.28,0.67,-0.12,0.53,0.03%,1.23%,0.52,09/24/1991,08/21/2015
MLM,Martin Marietta Materials,Basic Industries,1.02%,0.36%,0.01%,0.21%,1.46%,0.01%,0.26%,0.06,0.13,0.04%,1.58%,4.31%,1.62%,0.71%,0.00%,1.32,8,40.15%,0.30%,2.09%,0.78,12.23%,4.94%,0.02%,2.44%,2.75%,0.38%,-2.38%,32,66.67%,87.50%,0.03,0.38,0.65,0.41,0.78,0.05%,2.37%,1.11,02/17/1994,08/21/2015
MMC,Marsh & Mclennan Companies,Finance,0.79%,0.25%,0.03%,0.16%,1.11%,0.04%,0.19%,0.14,0.30,0.03%,1.42%,2.81%,1.11%,0.46%,0.03%,1.05,8,24.85%,0.20%,1.43%,0.77,8.86%,2.94%,0.04%,1.94%,1.94%,0.39%,-0.48%,34,70.83%,87.50%,0.03,0.49,0.76,0.23,0.75,0.04%,1.74%,0.86,01/02/1990,08/21/2015
MMM,3M Company,Health Care,0.57%,0.08%,0.03%,0.10%,0.73%,0.04%,0.09%,0.92,0.41,0.02%,1.06%,1.87%,0.84%,0.31%,0.04%,0.99,8,16.02%,0.17%,1.17%,0.43,7.74%,2.57%,0.04%,2.19%,2.69%,0.23%,-2.67%,30,62.50%,75.00%,0.26,0.14,0.86,0.03,0.61,0.03%,1.50%,0.84,01/02/1990,08/21/2015
MNK,Mallinckrodt plc,Health Care,1.33%,-0.65%,0.24%,0.44%,1.51%,0.21%,-0.65%,0.13,0.27,0.12%,2.14%,-2.66%,1.27%,-0.45%,0.25%,0.58,2,-5.25%,0.40%,1.38%,0.22,1.83%,4.61%,0.23%,-2.56%,4.61%,-0.73%,-6.96%,4,33.33%,50.00%,0.18,0.33,0.04,-1.91,-1.50,0.11%,2.00%,0.89,07/01/2013,08/21/2015
MNST,Monster Beverage Corp,Consumer Non-Durables,1.63%,-0.31%,0.07%,0.67%,2.83%,0.06%,-0.22%,0.97,0.44,0.10%,2.59%,-0.85%,1.79%,-0.14%,0.10%,2.22,3,-2.53%,0.70%,3.02%,0.69,1.44%,2.34%,0.09%,0.76%,1.44%,-0.17%,-4.63%,8,44.44%,66.67%,0.92,0.45,0.12,-0.43,-0.18,0.10%,2.56%,0.97,01/09/2012,08/21/2015
MO,Altria Group,Consumer Non-Durables,1.70%,-0.08%,0.12%,0.30%,2.10%,0.11%,0.48%,0.87,0.00,0.04%,1.91%,0.64%,0.96%,0.11%,0.06%,0.34,8,5.24%,0.17%,1.16%,0.96,4.67%,2.37%,0.07%,0.09%,2.72%,0.24%,-2.97%,27,56.25%,50.00%,0.57,0.02,0.30,-0.27,0.21,0.03%,1.28%,0.53,01/02/1990,08/21/2015
MON,Monsanto Company,Basic Industries,1.18%,0.49%,0.03%,0.23%,1.59%,0.04%,0.44%,0.06,0.41,0.04%,1.83%,4.72%,1.63%,0.77%,0.03%,1.39,8,44.67%,0.30%,2.10%,0.86,23.04%,4.90%,0.05%,2.18%,2.18%,0.61%,-0.65%,30,62.50%,87.50%,0.04,0.27,0.68,0.48,0.85,0.05%,2.35%,1.01,10/18/2000,08/21/2015
MOS,Mosaic Company,Basic Industries,1.32%,0.31%,0.04%,0.24%,1.66%,0.05%,-0.23%,0.90,0.10,0.04%,1.94%,5.03%,2.27%,0.82%,0.02%,1.45,8,48.05%,0.40%,2.80%,0.79,18.33%,5.42%,0.04%,1.84%,1.83%,0.07%,-0.76%,25,52.08%,62.50%,0.27,0.17,0.53,0.41,0.68,0.08%,3.59%,1.45,10/25/2004,08/21/2015
MPC,Marathon Petroleum Corporation,Energy,1.45%,-0.15%,0.05%,0.38%,1.86%,0.04%,-0.33%,0.23,0.03,0.05%,1.42%,2.54%,2.51%,0.42%,0.09%,2.49,4,10.55%,0.66%,3.27%,1.00,22.10%,7.76%,0.10%,-2.41%,4.95%,-0.48%,-4.88%,11,45.83%,25.00%,0.79,0.01,0.51,-0.08,0.42,0.08%,2.33%,1.32,06/23/2011,08/21/2015
MRK,Merck & Company,Health Care,1.02%,-0.29%,0.04%,0.19%,1.30%,0.04%,-0.15%,0.18,0.49,0.04%,1.78%,-0.02%,0.93%,0.00%,0.03%,0.72,8,-0.16%,0.18%,1.25%,0.28,6.72%,3.08%,0.03%,1.25%,1.55%,0.24%,-6.62%,26,54.17%,62.50%,0.96,0.19,0.59,-0.42,-0.01,0.04%,1.76%,0.76,01/02/1990,08/21/2015
MRO,Marathon Oil Corp.,Energy,0.88%,0.12%,0.00%,0.17%,1.16%,0.00%,0.00%,0.90,0.30,0.03%,1.36%,3.36%,1.60%,0.55%,-0.01%,1.38,8,30.27%,0.30%,2.13%,0.65,16.18%,3.96%,0.00%,1.88%,2.41%,0.34%,-0.86%,27,56.25%,50.00%,0.34,0.38,0.67,0.26,0.60,0.06%,2.82%,1.37,01/02/1980,08/21/2015
MS,Morgan Stanley,Finance,0.62%,-0.05%,0.00%,0.13%,0.93%,0.00%,-0.04%,0.92,0.10,0.03%,1.31%,2.93%,2.30%,0.48%,-0.04%,2.44,8,25.95%,0.46%,3.23%,0.87,23.42%,5.86%,-0.03%,1.73%,3.11%,0.73%,-8.30%,29,60.42%,75.00%,0.17,0.30,0.78,0.13,0.35,0.09%,4.08%,2.12,05/25/1993,08/21/2015
